humidity,temperature,luminosity,label
78,14.61,634.67,inconnu
82,24.25,165.95,inconnu
5,23.18,881.93,humide
50,19.79,427.49,inconnu
42,33.7,162.23,sec
24,26.88,12.61,optimal
15,14.43,559.76,inconnu
35,18.61,527.4,inconnu
89,32.5,719.35,inconnu
34,14.28,890.26,inconnu
51,37.54,79.41,sec
68,26.85,731.5,optimal
37,26.42,187.41,optimal
92,29.77,858.18,inconnu
91,36.74,819.06,inconnu
27,22.43,540.79,humide
49,32.34,710.24,optimal
32,28.97,314.35,optimal
30,20.01,471.17,humide
8,38.36,821.64,humide
59,35.92,459.27,sec
50,31.75,357.8,sec
9,37.52,494.21,tres_sec
30,38.02,828.25,humide
86,33.25,335.21,inconnu
26,37.11,173.76,tres_sec
18,32.92,712.01,optimal
49,32.4,825.98,humide
93,30.56,100.64,inconnu
26,34.58,239.87,sec
65,16.76,141.97,inconnu
73,38.43,347.94,humide
26,38.16,450.35,tres_sec
70,12.88,748.83,inconnu
38,36.77,651.15,sec
61,15.87,620.93,inconnu
62,22.05,352.37,humide
53,34.31,841.45,humide
13,16.82,471.29,inconnu
80,36.54,979.1,inconnu
33,36.96,634.14,sec
21,27.22,126.26,optimal
8,12.19,676.18,inconnu
58,20.61,325.1,humide
65,30.51,686.33,optimal
6,41.44,69.64,tres_sec
51,30.95,174.88,sec
25,19.79,855.74,inconnu
63,31.02,227.18,optimal
20,28.2,837.04,humide
67,35.4,279.28,optimal
39,15.21,642.88,inconnu
89,34.83,694.15,inconnu
17,28.24,512.65,optimal
35,40.89,305.31,tres_sec
15,22.26,212.64,humide
88,30.98,33.19,inconnu
83,39.96,303.95,inconnu
28,15.08,653.16,inconnu
64,40.12,938.3,inconnu
78,32.64,871.2,humide
54,14.04,766.06,inconnu
52,21.03,788.45,humide
26,33.25,664.98,sec
13,14.02,260.29,inconnu
85,29.47,907.2,inconnu
86,22.38,670.73,inconnu
61,30.63,560.44,optimal
35,13.37,110.99,inconnu
36,38.15,447.06,tres_sec
70,41.2,460.36,humide
85,41.07,864.56,inconnu
84,34.49,546.65,inconnu
75,15.9,380.4,inconnu
62,34.75,976.8,inconnu
12,12.74,110.72,inconnu
19,12.66,422.55,inconnu
85,21.71,42.02,inconnu
59,26.66,739.9,optimal
5,35.11,918.08,inconnu
14,32.5,280.04,sec
64,25.38,858.34,humide
5,20.21,292.22,humide
19,41.91,910.77,inconnu
54,24.79,753.96,humide
67,25.54,804.91,humide
63,16.91,18.01,inconnu
25,35.84,962.81,inconnu
69,32.81,726.67,optimal
26,18.62,304.75,inconnu
34,14.47,829.39,inconnu
72,32.41,281.52,humide
63,31.64,872.75,humide
81,20.2,112.58,inconnu
64,40.53,703.69,optimal
56,16.53,540.7,inconnu
13,24.97,96.53,humide
38,40.31,241.89,tres_sec
28,24.59,12.4,humide
26,31.16,468.77,sec
92,23.93,301.27,inconnu
40,20.23,598.36,humide
85,41.52,297.24,inconnu
61,24.28,299.92,humide
76,38.82,743.19,humide
50,18.9,48.14,inconnu
56,18.39,902.89,inconnu
49,12.93,852.26,inconnu
22,31.55,667.8,sec
70,23.06,593.22,humide
30,37.93,892.3,humide
7,26.2,185.33,optimal
63,41.05,78.97,optimal
20,17.57,239.51,inconnu
89,38.06,794.58,inconnu
90,35.3,34.67,inconnu
87,35.13,582.81,inconnu
38,37.34,995.44,inconnu
6,34.83,855.7,humide
88,30.79,521.45,inconnu
43,15.94,63.64,inconnu
91,12.98,831.37,inconnu
91,39.63,598.98,inconnu
81,30.5,114.93,inconnu
31,35.9,93.86,tres_sec
39,26.45,909.63,inconnu
81,15.52,669.2,inconnu
33,15.76,829.29,inconnu
20,32.57,878.98,humide
55,24.91,571.77,humide
89,18.02,517.45,inconnu
67,26.75,430.43,optimal
56,13.93,316.95,inconnu
13,29.46,434.6,optimal
60,20.07,773.88,humide
94,35.93,601.92,inconnu
17,21.31,892.52,humide
51,25.66,443.38,optimal
83,12.35,607.09,inconnu
71,14.17,631.31,inconnu
67,23.77,591.7,humide
68,26.4,702.63,optimal
37,30.0,237.43,sec
31,20.75,512.36,humide
77,32.85,104.22,humide
77,37.8,384.51,humide
83,35.4,487.67,inconnu
87,13.19,652.22,inconnu
51,26.42,950.53,inconnu
50,15.15,600.65,inconnu
76,19.26,743.59,inconnu
63,41.6,506.27,optimal
68,16.27,634.1,inconnu
76,26.97,70.93,humide
85,30.54,254.39,inconnu
35,33.07,361.85,sec
38,28.79,472.49,optimal
13,12.29,45.65,inconnu
57,21.79,140.02,humide
8,27.53,276.81,optimal
46,14.64,971.53,inconnu
53,22.52,331.35,humide
30,13.0,482.04,inconnu
58,14.36,196.1,inconnu
7,23.91,610.78,humide
8,15.98,280.68,inconnu
79,29.03,206.99,humide
37,32.68,516.57,sec
16,36.02,5.51,tres_sec
52,18.0,7.66,inconnu
74,17.02,219.07,inconnu
24,15.14,36.72,inconnu
61,31.09,108.03,optimal
12,33.19,338.86,sec
9,12.95,802.59,inconnu
52,40.09,572.05,sec
53,13.56,512.67,inconnu
62,28.24,293.49,optimal
70,33.27,931.75,inconnu
92,38.13,397.02,inconnu
51,33.42,87.09,sec
34,36.05,617.07,sec
76,22.18,113.84,humide
29,36.44,345.22,tres_sec
44,14.4,507.41,inconnu
12,38.84,874.22,humide
7,28.43,493.55,optimal
91,36.52,702.26,inconnu
80,25.57,992.82,inconnu
67,31.31,131.49,optimal
41,27.79,274.73,optimal
20,33.95,394.58,sec
19,14.45,421.83,inconnu
27,13.81,411.02,inconnu
54,19.41,907.61,inconnu
69,16.79,714.03,inconnu
64,38.15,607.91,optimal
30,18.58,309.37,inconnu
90,41.28,823.79,inconnu
71,22.11,955.06,inconnu
54,17.46,821.2,inconnu
60,35.69,1.57,optimal
42,31.76,636.4,sec
27,26.95,51.14,optimal
37,28.66,257.61,optimal
73,33.58,59.52,humide
6,18.85,603.8,inconnu
15,41.89,686.59,sec
9,41.24,114.49,tres_sec
8,31.51,383.84,sec
81,17.99,456.24,inconnu
68,32.41,369.05,optimal
47,14.17,121.03,inconnu
13,12.92,418.95,inconnu
49,19.73,751.18,inconnu
47,25.88,71.01,optimal
20,38.05,80.18,tres_sec
44,33.82,354.77,sec
40,34.28,941.73,inconnu
60,24.76,668.57,humide
62,22.38,678.67,humide
9,23.13,361.92,humide
38,41.63,593.66,sec
61,13.2,10.13,inconnu
50,38.01,636.1,sec
82,29.36,913.29,inconnu
64,25.16,612.57,optimal
19,33.76,873.7,humide
11,26.6,723.97,optimal
62,38.2,120.56,optimal
7,39.02,902.45,inconnu
57,24.65,66.44,humide
89,20.3,533.97,inconnu
56,29.77,142.14,optimal
39,39.37,11.71,tres_sec
62,18.32,422.03,inconnu
46,30.69,295.04,sec
54,30.95,486.0,sec
89,33.99,577.2,inconnu
39,15.95,43.74,inconnu
91,33.47,123.0,inconnu
86,39.27,558.64,inconnu
22,17.39,343.17,inconnu
11,19.13,729.17,inconnu
14,41.14,652.29,sec
6,17.43,845.6,inconnu
13,37.63,692.49,sec
66,26.77,429.93,optimal
11,19.42,672.97,inconnu
33,38.12,275.38,tres_sec
81,25.36,306.31,inconnu
7,27.44,788.99,optimal
78,22.78,446.42,humide
30,29.79,798.38,optimal
15,16.91,822.42,inconnu
67,23.73,857.56,humide
61,41.08,916.64,inconnu
83,19.74,430.99,inconnu
71,31.7,318.87,humide
77,21.76,582.2,humide
30,35.2,371.17,tres_sec
20,15.93,601.07,inconnu
72,41.09,705.59,humide
77,25.61,688.41,humide
94,19.08,374.55,inconnu
42,14.2,166.86,inconnu
38,17.09,430.53,inconnu
74,27.59,142.59,humide
35,22.11,890.1,humide
88,36.87,345.88,inconnu
82,24.93,154.46,inconnu
43,19.46,25.45,inconnu
72,30.51,645.82,humide
72,33.2,636.9,humide
14,17.01,340.6,inconnu
86,17.03,71.71,inconnu
50,13.1,409.63,inconnu
79,34.09,311.22,humide
33,31.91,677.12,sec
85,26.24,605.78,inconnu
40,37.33,364.59,sec
5,36.17,217.89,tres_sec
86,29.56,988.04,inconnu
13,38.05,454.0,tres_sec
33,18.18,688.27,inconnu
90,15.36,140.55,inconnu
90,20.09,485.59,inconnu
56,13.71,27.54,inconnu
61,27.94,505.46,optimal
45,40.1,964.02,inconnu
31,13.18,384.21,inconnu
34,15.66,39.0,inconnu
65,25.57,30.96,optimal
72,40.02,387.99,humide
76,21.48,160.02,humide
76,27.22,23.35,humide
13,13.25,756.21,inconnu
49,16.45,458.52,inconnu
10,41.6,289.24,tres_sec
54,40.95,900.08,inconnu
44,12.15,116.14,inconnu
84,40.55,955.92,inconnu
36,31.17,313.97,sec
15,38.04,888.4,humide
17,25.64,602.94,optimal
73,27.47,826.71,humide
60,26.67,984.01,inconnu
14,32.01,288.41,sec
12,16.19,961.14,inconnu
68,12.9,389.48,inconnu
11,21.24,385.51,humide
78,33.14,340.39,humide
68,18.06,541.41,inconnu
12,32.2,154.15,sec
12,41.1,553.71,sec
93,14.82,541.7,inconnu
38,32.18,761.9,optimal
38,25.31,833.65,humide
78,38.04,440.44,humide
90,17.31,302.33,inconnu
93,32.78,259.33,inconnu
72,37.14,194.62,humide
38,40.34,57.65,tres_sec
12,32.5,342.45,sec
74,26.92,270.25,humide
55,30.54,966.42,inconnu
43,38.07,557.71,sec
86,29.12,347.28,inconnu
15,12.91,580.47,inconnu
49,39.93,139.2,sec
6,32.69,444.04,sec
47,32.3,626.23,sec
10,18.47,488.9,inconnu
15,31.77,401.78,sec
15,23.82,993.85,inconnu
63,31.54,880.31,humide
72,15.2,623.41,inconnu
57,31.74,569.38,sec
91,41.98,620.66,inconnu
38,13.45,201.31,inconnu
30,41.32,395.14,tres_sec
83,24.21,39.46,inconnu
25,38.12,475.55,tres_sec
91,35.47,543.02,inconnu
6,29.01,227.75,optimal
92,34.15,964.03,inconnu
8,38.36,909.45,inconnu
85,24.12,722.14,inconnu
52,21.81,533.39,humide
94,32.03,869.97,inconnu
11,36.24,130.65,tres_sec
54,34.87,790.51,optimal
92,35.93,124.82,inconnu
52,25.07,794.21,optimal
61,36.54,275.77,optimal
67,15.61,877.09,inconnu
45,28.33,944.04,inconnu
61,12.17,148.8,inconnu
57,21.74,462.68,humide
86,22.99,980.99,inconnu
9,23.89,483.41,humide
30,32.86,863.55,humide
90,23.66,588.73,inconnu
85,25.46,375.33,inconnu
46,19.13,285.78,inconnu
60,23.2,203.22,humide
29,18.82,761.8,inconnu
21,14.2,386.54,inconnu
46,30.1,511.28,sec
36,32.05,492.33,sec
57,30.58,577.28,sec
11,25.9,865.58,humide
92,23.39,980.74,inconnu
93,37.9,407.58,inconnu
67,27.57,827.52,humide
53,26.38,764.53,optimal
32,12.77,573.53,inconnu
78,22.24,956.05,inconnu
66,23.41,200.47,humide
19,23.96,109.26,humide
86,29.41,853.96,inconnu
79,28.01,439.15,humide
90,30.24,846.97,inconnu
70,34.95,893.09,humide
60,36.39,62.46,optimal
42,33.54,883.46,humide
88,40.67,448.32,inconnu
82,12.55,510.43,inconnu
9,17.87,626.59,inconnu
7,12.23,926.38,inconnu
38,31.42,19.12,sec
77,38.94,476.84,humide
93,19.3,687.72,inconnu
18,39.81,722.71,optimal
58,13.81,692.53,inconnu
39,40.03,134.44,tres_sec
92,22.55,299.4,inconnu
80,15.04,358.72,inconnu
80,26.58,804.44,inconnu
47,19.7,278.76,inconnu
42,20.55,210.7,humide
29,21.22,957.45,inconnu
10,36.09,8.86,tres_sec
82,28.17,997.82,inconnu
78,21.34,676.82,humide
94,30.31,828.47,inconnu
94,33.48,294.62,inconnu
54,20.18,14.32,humide
74,24.41,737.87,humide
90,15.66,834.14,inconnu
81,17.43,740.48,inconnu
27,32.43,142.85,sec
45,17.44,753.43,inconnu
16,27.75,768.92,optimal
90,33.27,658.54,inconnu
59,15.21,766.12,inconnu
25,29.02,845.92,humide
65,19.7,613.6,inconnu
60,40.89,88.6,optimal
37,26.51,487.63,optimal
15,36.18,77.65,tres_sec
65,28.51,407.54,optimal
51,13.3,407.11,inconnu
74,30.99,66.01,humide
51,40.54,348.82,sec
81,30.05,111.0,inconnu
54,36.58,808.24,humide
55,38.53,947.69,inconnu
83,18.84,72.32,inconnu
41,18.36,955.12,inconnu
17,30.33,522.58,sec
7,24.33,299.57,humide
72,37.2,76.86,humide
60,39.0,500.62,optimal
68,22.6,794.52,humide
24,19.11,707.09,inconnu
17,35.42,50.23,tres_sec
6,20.24,72.9,humide
36,36.68,402.87,tres_sec
58,24.71,295.29,humide
40,32.03,232.38,sec
44,14.87,281.0,inconnu
86,30.72,803.48,inconnu
36,25.55,929.23,inconnu
51,29.6,405.1,optimal
75,17.04,906.11,inconnu
40,34.11,321.5,sec
60,37.88,476.44,optimal
82,18.5,226.03,inconnu
90,14.87,640.48,inconnu
18,12.71,978.98,inconnu
88,31.26,603.49,inconnu
49,30.21,357.81,sec
28,28.4,647.82,optimal
46,18.96,122.92,inconnu
93,23.73,888.66,inconnu
49,29.83,503.08,optimal
34,26.9,449.35,optimal
62,41.63,585.86,optimal
26,16.09,624.78,inconnu
11,32.85,71.78,sec
16,24.13,682.62,humide
16,24.85,241.93,humide
18,33.53,713.95,optimal
17,32.77,822.53,humide
62,41.74,803.96,humide
21,15.85,552.5,inconnu
36,15.12,520.17,inconnu
85,33.73,142.88,inconnu
47,29.35,775.35,optimal
65,20.22,271.41,humide
20,14.38,496.7,inconnu
22,14.57,284.27,inconnu
8,38.83,133.83,tres_sec
20,17.76,629.56,inconnu
30,21.7,54.33,humide
20,18.8,748.65,inconnu
12,22.65,317.59,humide
15,14.08,0.13,inconnu
46,27.57,511.13,optimal
23,14.03,46.85,inconnu
37,36.01,276.17,tres_sec
50,19.01,706.98,inconnu
67,28.2,62.69,optimal
8,38.4,839.34,humide
76,31.53,3.82,humide
61,27.99,246.82,optimal
12,21.73,740.9,humide
83,21.99,316.27,inconnu
87,32.08,101.89,inconnu
10,41.82,360.23,tres_sec
29,31.86,270.39,sec
77,28.73,842.71,humide
72,33.92,313.35,humide
21,25.96,788.93,optimal
23,13.8,891.87,inconnu
38,28.87,433.82,optimal
48,40.73,909.94,inconnu
60,17.26,377.32,inconnu
38,32.7,964.08,inconnu
46,18.03,89.29,inconnu
72,28.07,687.02,humide
8,14.9,493.81,inconnu
27,25.51,387.65,optimal
69,34.68,632.71,optimal
85,22.43,703.86,inconnu
51,31.95,4.36,sec
52,35.86,166.95,sec
14,39.82,713.05,optimal
45,19.04,666.39,inconnu
52,23.98,966.05,inconnu
26,16.57,761.04,inconnu
29,41.77,950.77,inconnu
38,39.81,702.54,optimal
6,28.2,298.05,optimal
33,37.26,105.36,tres_sec
24,27.63,781.82,optimal
34,30.71,644.15,sec
15,14.67,48.19,inconnu
85,34.66,360.05,inconnu
58,15.83,956.8,inconnu
66,36.78,500.4,optimal
76,35.46,432.73,humide
49,33.26,457.7,sec
12,13.08,208.88,inconnu
53,21.09,368.71,humide
57,19.89,369.81,inconnu
72,22.8,52.36,humide
43,14.63,767.57,inconnu
16,40.11,416.5,tres_sec
30,28.61,822.18,humide
37,21.17,850.35,humide
63,23.91,211.99,humide
56,25.42,657.35,optimal
37,30.02,472.28,sec
93,27.47,880.16,inconnu
59,39.58,215.74,sec
26,26.91,677.81,optimal
14,41.76,607.75,sec
18,37.54,295.3,tres_sec
27,18.26,136.6,inconnu
19,39.92,651.64,sec
21,15.49,738.6,inconnu
30,36.52,315.63,tres_sec
20,23.42,644.83,humide
85,38.34,395.13,inconnu
12,38.04,713.21,optimal
52,36.18,199.22,sec
41,35.7,890.22,humide
93,21.14,287.41,inconnu
15,14.43,367.79,inconnu
40,24.09,58.09,humide
92,17.21,111.51,inconnu
82,32.85,515.86,inconnu
78,22.38,267.59,humide
28,41.27,835.48,humide
20,31.23,14.69,sec
65,36.67,379.09,optimal
88,15.98,337.35,inconnu
55,37.86,19.33,sec
56,39.68,124.37,sec
30,26.61,413.64,optimal
74,30.19,492.86,humide
21,34.94,404.29,sec
34,17.25,530.94,inconnu
43,27.08,595.13,optimal
50,23.96,9.92,humide
26,16.39,464.1,inconnu
15,23.03,963.5,inconnu
59,14.05,519.03,inconnu
30,12.77,677.54,inconnu
57,16.05,311.86,inconnu
18,40.89,773.99,optimal
48,28.49,772.92,optimal
52,40.97,521.3,sec
9,24.97,976.01,inconnu
35,21.35,125.55,humide
17,27.18,16.95,optimal
10,25.19,770.16,optimal
94,15.17,807.16,inconnu
34,31.22,120.21,sec
77,18.48,265.58,inconnu
27,30.59,17.55,sec
66,31.51,293.31,optimal
73,16.56,773.14,inconnu
58,13.84,517.96,inconnu
47,35.42,348.1,sec
42,25.79,371.74,optimal
36,13.74,1.35,inconnu
88,41.85,299.8,inconnu
79,13.73,646.46,inconnu
91,32.85,974.19,inconnu
16,41.51,847.06,humide
70,19.18,23.59,inconnu
89,16.27,898.56,inconnu
21,15.64,783.2,inconnu
10,21.1,780.38,humide
71,15.03,458.0,inconnu
56,32.76,398.01,sec
80,13.87,302.92,inconnu
17,27.28,65.69,optimal
76,41.9,228.24,humide
23,36.42,246.6,tres_sec
19,30.46,484.08,sec
19,21.19,747.44,humide
78,30.72,473.81,humide
64,27.81,57.84,optimal
52,24.78,957.79,inconnu
37,15.92,942.72,inconnu
83,38.6,785.19,inconnu
40,25.49,991.33,inconnu
78,17.84,544.48,inconnu
44,23.03,962.77,inconnu
38,24.42,75.61,humide
46,36.83,365.68,sec
32,34.01,225.38,sec
72,35.08,195.83,humide
50,12.33,140.8,inconnu
25,24.48,622.41,humide
85,26.44,781.32,inconnu
39,12.58,578.3,inconnu
53,19.79,146.96,inconnu
86,34.81,811.12,inconnu
61,16.11,635.95,inconnu
15,28.06,388.17,optimal
89,18.46,674.13,inconnu
61,12.36,259.9,inconnu
35,19.24,345.19,inconnu
17,41.28,917.49,inconnu
76,36.05,290.5,humide
60,40.79,469.99,optimal
53,26.64,890.14,humide
85,15.29,707.72,inconnu
75,28.44,62.2,humide
18,25.63,147.3,optimal
33,37.33,7.84,tres_sec
27,14.94,630.92,inconnu
71,26.65,447.67,humide
8,16.5,134.27,inconnu
56,21.74,957.93,inconnu
73,34.12,529.66,humide
83,26.28,241.89,inconnu
35,23.28,500.6,humide
78,23.83,679.62,humide
14,25.78,76.24,optimal
81,35.55,274.7,inconnu
16,38.76,806.97,humide
40,40.66,459.66,sec
76,35.61,546.58,humide
18,21.46,432.82,humide
25,32.64,43.9,sec
70,25.13,165.75,humide
69,19.64,445.54,inconnu
62,37.23,209.19,optimal
67,13.15,49.98,inconnu
53,39.05,843.65,humide
27,25.84,981.19,inconnu
36,31.12,793.14,optimal
21,31.78,853.78,humide
86,38.85,241.98,inconnu
57,31.1,960.63,inconnu
41,30.42,196.93,sec
46,14.0,951.43,inconnu
90,27.55,994.82,inconnu
18,16.51,711.72,inconnu
57,34.12,981.14,inconnu
50,27.37,569.54,optimal
60,32.41,259.54,optimal
6,13.25,437.0,inconnu
83,14.54,593.56,inconnu
88,33.49,73.08,inconnu
55,14.16,622.34,inconnu
67,14.14,981.18,inconnu
88,12.36,190.11,inconnu
68,40.7,792.6,optimal
18,34.13,907.9,inconnu
56,22.6,943.7,inconnu
59,20.9,960.14,inconnu
43,22.49,521.46,humide
71,35.24,977.31,inconnu
89,31.84,757.31,inconnu
88,17.56,161.67,inconnu
45,17.22,476.9,inconnu
15,14.95,718.33,inconnu
93,31.81,247.34,inconnu
80,34.93,640.62,inconnu
16,19.95,666.6,inconnu
87,12.63,162.7,inconnu
83,14.47,565.09,inconnu
51,41.04,771.63,optimal
58,20.86,498.9,humide
40,35.08,12.1,sec
9,30.74,9.04,sec
35,23.46,357.03,humide
77,18.17,926.19,inconnu
5,15.64,228.68,inconnu
35,30.45,634.36,sec
40,35.24,222.08,sec
53,31.32,321.67,sec
87,27.91,848.04,inconnu
36,13.26,728.86,inconnu
36,41.05,95.4,tres_sec
71,35.96,428.7,humide
45,20.78,29.17,humide
25,41.4,480.89,tres_sec
45,30.06,662.43,sec
17,29.47,118.5,optimal
20,34.44,288.88,sec
49,36.35,397.84,sec
42,31.69,919.53,inconnu
87,15.84,993.26,tres_humide
37,22.15,44.91,humide
57,39.84,761.01,optimal
61,18.74,371.72,inconnu
6,23.17,392.46,humide
64,24.96,754.26,humide
21,25.18,918.43,inconnu
91,30.39,950.93,inconnu
18,40.29,577.12,sec
42,19.22,357.12,inconnu
12,15.65,787.55,inconnu
94,17.92,251.0,inconnu
50,38.61,564.07,sec
58,31.37,358.58,sec
11,20.58,656.63,humide
72,36.48,240.4,humide
23,37.84,191.59,tres_sec
85,37.4,918.24,inconnu
23,39.57,101.8,tres_sec
22,19.57,505.96,inconnu
8,34.65,220.85,sec
47,25.82,38.93,optimal
55,37.26,36.02,sec
10,33.85,175.22,sec
74,35.29,866.77,humide
45,31.68,282.48,sec
52,17.32,950.46,inconnu
44,28.35,581.62,optimal
41,41.54,436.61,sec
55,40.12,580.09,sec
18,13.3,516.7,inconnu
21,16.94,758.78,inconnu
82,15.95,282.5,inconnu
90,33.78,353.05,inconnu
38,36.53,894.09,humide
29,18.41,946.46,inconnu
62,27.18,892.56,humide
41,37.22,419.45,sec
7,33.98,780.37,optimal
19,28.27,476.34,optimal
69,29.71,497.54,optimal
64,27.25,204.68,optimal
7,20.93,591.13,humide
24,28.95,186.14,optimal
25,32.67,331.56,sec
65,38.2,855.03,humide
6,31.09,207.08,sec
14,34.83,71.16,sec
76,16.8,69.01,inconnu
21,25.85,940.78,inconnu
63,12.28,506.92,inconnu
26,19.4,409.41,inconnu
13,33.79,810.88,humide
26,41.75,835.83,humide
70,14.98,332.19,inconnu
82,24.04,693.62,inconnu
79,36.0,771.12,humide
40,18.12,654.65,inconnu
65,28.65,151.6,optimal
23,33.99,875.88,humide
31,30.48,539.09,sec
85,17.64,282.47,inconnu
6,22.66,425.23,humide
12,35.51,37.57,tres_sec
23,28.63,127.87,optimal
7,12.16,765.55,inconnu
21,34.83,0.01,sec
57,13.06,416.57,inconnu
42,34.37,522.51,sec
85,18.07,54.63,inconnu
78,40.74,973.08,inconnu
35,23.04,226.13,humide
28,21.81,304.2,humide
39,16.47,303.94,inconnu
58,21.17,230.42,humide
29,38.3,1.47,tres_sec
61,41.89,729.34,optimal
41,23.05,966.85,inconnu
54,25.46,224.29,optimal
44,33.66,663.05,sec
31,38.59,741.9,optimal
90,29.79,848.43,inconnu
73,23.75,422.63,humide
17,24.38,302.93,humide
83,32.87,325.3,inconnu
48,12.1,712.62,inconnu
85,30.59,816.78,inconnu
76,22.66,181.61,humide
43,35.83,370.94,sec
7,14.79,901.94,inconnu
29,29.65,806.69,humide
53,26.43,984.86,inconnu
62,31.27,754.25,optimal
28,13.95,393.2,inconnu
17,29.4,590.64,optimal
80,28.84,661.01,inconnu
93,28.82,78.46,inconnu
52,30.1,544.5,sec
20,32.29,709.32,optimal
29,36.15,167.32,tres_sec
6,20.09,780.63,humide
87,36.75,583.77,inconnu
15,26.95,952.22,inconnu
56,14.31,42.42,inconnu
29,13.76,265.33,inconnu
54,22.03,601.55,humide
63,35.55,296.56,optimal
79,33.23,714.42,humide
23,35.66,759.01,optimal
5,27.52,102.52,optimal
17,25.21,513.85,optimal
86,16.42,508.89,inconnu
83,21.85,369.28,inconnu
58,25.02,932.92,inconnu
59,14.66,827.51,inconnu
64,18.62,697.21,inconnu
20,29.95,714.33,optimal
87,34.07,461.72,inconnu
42,41.95,920.99,inconnu
39,39.99,694.6,sec
51,31.28,728.98,optimal
9,24.64,861.69,humide
19,31.09,274.07,sec
71,35.57,807.07,humide
12,15.55,195.24,inconnu
59,24.3,345.34,humide
27,37.19,335.61,tres_sec
40,23.51,978.53,inconnu
30,29.16,856.54,humide
37,29.63,701.17,optimal
69,17.53,727.06,inconnu
31,22.87,562.07,humide
55,22.04,947.09,inconnu
47,12.79,496.26,inconnu
64,12.73,380.52,inconnu
89,36.95,163.04,inconnu
70,20.19,786.21,humide
24,27.54,734.44,optimal
7,20.96,384.36,humide
28,40.22,25.19,tres_sec
58,19.78,839.0,inconnu
9,24.89,11.42,humide
49,38.18,703.7,optimal
58,37.26,970.26,inconnu
35,17.58,437.66,inconnu
74,36.08,234.97,humide
