humidity,temperature,luminosity,label
32,25.02,671.7,optimal
30,23.96,618.13,humide
8,30.48,358.16,sec
59,31.05,113.56,sec
50,13.36,671.57,inconnu
9,23.24,520.31,humide
30,30.78,772.32,optimal
86,27.09,520.16,inconnu
26,37.69,852.18,humide
18,31.76,551.91,sec
49,16.89,560.94,inconnu
93,14.12,876.65,inconnu
26,31.27,403.48,sec
65,12.8,134.02,inconnu
73,29.57,28.78,humide
26,40.21,755.14,optimal
70,29.26,620.31,humide
38,23.65,704.08,humide
61,31.3,212.96,optimal
62,25.75,136.37,optimal
53,28.37,14.54,optimal
13,40.24,350.59,tres_sec
80,23.58,589.92,inconnu
33,40.84,392.24,tres_sec
21,39.16,437.47,tres_sec
8,17.87,904.16,inconnu
58,14.08,348.26,inconnu
65,15.02,513.99,inconnu
6,12.55,783.65,inconnu
51,14.83,396.54,inconnu
25,32.49,622.09,sec
63,14.14,862.36,inconnu
20,21.57,949.52,inconnu
67,37.35,147.07,optimal
39,12.7,926.59,inconnu
89,36.43,492.12,inconnu
17,20.46,258.24,humide
35,15.54,459.14,inconnu
15,32.9,980.03,inconnu
88,30.87,492.62,inconnu
83,38.32,328.75,inconnu
28,34.05,633.4,sec
64,36.1,240.15,optimal
78,20.46,75.86,humide
54,17.32,128.88,inconnu
52,34.52,128.05,sec
26,36.21,151.9,tres_sec
13,41.72,138.83,tres_sec
85,24.38,640.87,inconnu
86,23.16,181.88,inconnu
61,35.29,345.67,optimal
35,22.22,896.79,humide
36,39.92,473.96,tres_sec
70,37.75,667.56,humide
85,24.87,172.32,inconnu
84,34.53,192.29,inconnu
75,34.64,40.87,humide
